,surface_type,liquid_type,diameter,height,fall_point_type,id,time,area,circumstance,circularity,finger_num,velocity,circle_radius
776,2,0,18,20,1,136,0.0272,1.202004e-05,0.0145506656570434,0.713427841351498,17.0,0.06,0.001956
777,2,0,18,20,3,131,0.0262,8.109000000000001e-06,0.0122628440337181,0.6776333238772517,8.0,0.36,0.00162
778,2,0,18,20,3,133,0.0266,8.986176000000001e-06,0.0135538128519058,0.6146980209537857,11.0,0.36,0.001704
779,2,0,18,20,3,134,0.0268,9.351216000000002e-06,0.0144154007062912,0.5654894600650489,10.0,0.18,0.00174
780,3,0,18,20,1,118,0.0236,8.345880000000001e-06,0.0123019020252227,0.6930067619399469,10.0,0.3,0.001632
781,3,0,18,20,1,120,0.024,9.360792000000002e-06,0.0135814310317039,0.6377219920972493,12.0,0.12,0.001728
782,3,0,18,20,1,121,0.0242,9.79956e-06,0.0137874898939132,0.64780758108129,13.0,0.18,0.001764
783,3,0,18,20,1,124,0.0248,1.0812024e-05,0.0148849600138664,0.6132273559944742,17.0,0.12,0.00186
784,3,0,18,20,1,127,0.0254,1.1475288000000002e-05,0.0151746656541824,0.6262319136377439,20.0,0.18,0.001908
785,3,0,18,20,1,128,0.0256,1.1635416e-05,0.0155421946449279,0.605295007710725,19.0,0.06,0.00192
786,3,0,18,20,3,126,0.0252,6.467976000000001e-06,0.0109243747901916,0.6810595404791542,7.0,6.12,0.00144
787,3,0,18,20,3,131,0.0262,9.073368e-06,0.0134713721508979,0.6282821508691865,9.0,0.3,0.001716
788,4,0,18,20,1,126,0.0252,8.88372e-06,0.0123721964135169,0.7293082290829951,9.0,0.36,0.001692
789,4,0,18,20,1,127,0.0254,9.402552e-06,0.0124921964035034,0.7571431554405447,8.0,0.18,0.001728
790,4,0,18,20,1,129,0.0258,1.0316016e-05,0.0129734024848937,0.7702187513147767,13.0,0.18,0.001812
791,4,0,18,20,1,133,0.0266,1.1574792e-05,0.0142774310388565,0.7135475464466103,14.0,0.12,0.00192
792,4,0,18,20,3,109,0.0218,5.105448000000001e-06,0.0102119038023948,0.615219781500671,9.0,3.96,0.001284
793,4,0,18,20,3,133,0.0266,1.1059344e-05,0.0193815738272666,0.3699654354020211,17.0,0.18,0.001896
794,4,0,18,20,7,132,0.0264,6.791040000000001e-06,0.0113139912157058,0.6666754736032655,13.0,0.36,0.001476
795,4,0,18,20,7,134,0.0268,7.944624e-06,0.012145049208641,0.6768378766503067,12.0,0.3,0.001596
796,4,0,18,20,7,135,0.027,8.431992000000001e-06,0.0125923141536712,0.6682345862522501,16.0,0.24,0.001644
797,4,0,18,20,7,137,0.0274,9.259776000000002e-06,0.0134352258324623,0.6446446803797277,17.0,0.18,0.001716
798,4,0,18,20,7,138,0.0276,9.606888000000002e-06,0.0140796076426506,0.6089918585344182,14.0,0.18,0.001752
799,4,0,18,20,7,139,0.0278,9.909792e-06,0.014450048353672,0.5963974835712061,17.0,0.12,0.001776
800,4,0,18,20,7,140,0.028,1.017792e-05,0.0148093418412208,0.5831729629143984,16.0,0.12,0.0018
801,4,0,18,20,7,141,0.0282,1.0401264e-05,0.0151148119525909,0.5721244222211991,14.0,0.12,0.001824
802,5,0,18,20,4,138,0.0276,1.0250352e-05,0.0157926353487968,0.516463255145144,14.0,0.36,0.001812
803,5,0,18,20,4,140,0.028,1.0866096000000002e-05,0.0165640465836524,0.4976803745977624,16.0,0.18,0.00186
804,5,0,18,20,1,127,0.0254,9.561816e-06,0.0140216665291786,0.6111544490978422,19.0,0.24,0.00174
805,5,0,18,20,1,131,0.0262,1.0971216e-05,0.0141925782208442,0.684450486564156,16.0,0.12,0.001872
